Name,,robot type,category,full head,screen type,mouth,nose,eyebrows,cheeks (blush),hair,ears,physical features,robot height,embodiment,face color,face turns other colors,face gradient to,face shape,screen size,head motion,face motion,info display,eye color,eye outline color,eye turns other colors (inside),eye shape,eye turns other shapes (exclude blink),pupil (y/n),pupil color,lid,lid color,iris,iris color,lashes color,lash shape,reflected glare color,# glare circles,blink type,"pupil
shapes",eye motion,"pupil and/or
iris motion",glare motion,wink,eye size,eye placement,eye spacing,mouth color (or outline color),mouth inside color,mouth shape,lips,tongue,teeth shape,mouth motion,mouth length,mouth placement,nose color,nose shape,nose 3d,nose size,nose placement,nose motion,eyebrow color,eyebrow shape,eyebrow inner edge positions,eyebrow independent motion,eyebrow motion,eyebrow length,eyebrow arch,cheek color,cheek shape,cheek size,cheek placement,cheek spacing,hair color,country/region of origin,year
Baxter (11),35,humanoid,research,x,touch,x,x,y,x,x,x,x,high,torso (on platform),white,x,x,rectangle - horiz,small,"x,y",none,no data,white,black,x,horiz oval,x,y,black,y,white,y,brown,black,crescent,white,2,slit,circle,x,x,x,x,pro,cen,wide,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,black,trapezoid,"down, flat",x,flip,long,small,x,x,x,x,x,x,USA,2015
Baxter (7),35,humanoid,research,x,touch,x,x,x,x,x,x,x,high,torso (on platform),black,no data,x,rectangle - horiz,small,"x,y",no data,no data,blue,x,no data,horiz oval,no data,y,purple,no data,no data,x,x,x,x,white,1,no data,circle,no data,no data,no data,no data,small,cen,medium,purple,x,squiggley line,x,x,x,no data,long,down,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,USA,2015
Robocoach,35,humanoid,healthcare,x,blcd,y,x,x,x,x,x,x,med,full robot body,pink,x,x,rectangle - horiz,small,"x,y",no data,chest,white,x,x,circle,x,y,black,y,blue or purple or green,y,green,x,x,white,1,down,circle,none,none,none,x,pro,raise,close,black,red,crescent,x,x,x,none,med,down,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,Singapore,2015
Sawyer,35,humanoid,industrial,x,touch,x,x,y,x,x,x,x,med,stationary upright cylinder,white,x,x,rectangle - horiz,small,none,none,"corner, toolbar[l]",white,x,x,horiz oval,x,y,black,y,white,y,blue,x,x,white,1,slit,circle,none,"lr, ud",none,x,pro,cen,medium,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,black,arched (center),flat,x,ud,long,small,x,x,x,x,x,x,USA,2015
Smartbot,35,mechanical,entertainment,x,smart,y,x,y,x,x,x,x,ground,on mobile platform,gray,x,black,rectangle - horiz,large,x,none,smart,white,x,x,circle,semicircle,y,black,x,x,x,x,x,x,white,1,x,circle,none,"lr, ud",none,x,pro,raise,close,white,white,crescent,x,x,x,"height, width",med,down,x,x,x,x,x,x,black,line,flat,x,twist,short,x,x,x,x,x,x,x,France,2013
Yurina,35,humanoid,healthcare,x,touch,y,y,x,x,x,x,x,low,upright mobile sphere,pink,x,x,rectangle - horiz,small,y,none,"dis, button[bottom right]",pink,pink,x,vert oval,x,y,blue,x,x,y,white,x,x,x,x,x,vert oval,none,"lr, ud",none,x,dom,raise,medium,pink,x,crescent,x,x,x,none,short,up,black,crescent downwards,x,small,up,none,x,x,x,x,none,x,x,x,x,x,x,x,x,Japan,2009
DiscoRobo Alex,36,humanoid,entertainment,x,ulcd,y,x,x,x,x,x,x,ground,tabletop,purple,x,x,upwards crescent,med,"x,y",none,x,purple,x,x,circle,x,y,purple,x,x,y,purple,purple,upsidedown crescent touching eye,x,1,x,circle,none,none,none,y,small,raise,close,white,white,"crescent, pucker lips",purple,x,x,none,med,cen,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,Vietnam,2012
RoboMe (robot 1),36,humanoid,entertainment,x,smart,y,x,y,x,x,x,x,ground,full robot body,black,x,gray,rectangle - vert,med,y,none,"smart, toolbar r, toolbar[left], dis, tele",blue,x,no data,circle,x,x,x,x,x,x,x,x,x,x,x,,x,no data,no data,none,no data,pro,up,medium,blue,blue,smile,x,x,x,no data,short,down,x,x,x,x,x,none,black,trapezoid,up,x,no data,med,x,x,x,x,x,x,x,China,2013
Robosem,36,mechanical,educational,x,touch,y,x,x,x,x,x,x,med,full robot body,black,x,x,rectangle - horiz,small,none,none,dis,black,white,x,circle,x,y,white,x,x,y,black,orange,3 dots,x,x,slit,circle,none,none,none,x,pro,raise,medium,orange,black,open half circle,x,x,x,resize,short,cen,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,Korea,2010
Romo,36,mechanical,entertainment,x,smart,y,x,x,x,x,x,x,ground,mobile platform,blue,x,x,rectangle - vert,large,none,"lr, ud",smart,white,x,x,circle,"crescents, circle with missing area near bottom, upside-down crescents",y,black,y,blue,x,x,x,x,x,x,lid down,circle,"ud,z, l/r, resize",ud,none,x,pro,raise,close,black,black,open half circle,x,pink,triangle,"ud, z",long,up,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,USA,2013
Brzydal,37,humanoid,research,x,blcd,y,x,x,x,x,x,x,ground,tabletop,yellow,no data,x,rectangle - vert,large,no data,no data,x,white,gray,no data,circle,x,y,black,x,x,y,blue,x,x,x,x,x,circle,none,no data,none,no data,pro,up,medium,black,red,open,x,x,x,no data,med,down,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,Poland,2016
Dragonbot (1-1),37,zoomorphic,entertainment,x,touch,y,x,x,x,x,x,x,ground,tabletop,black,x,x,bean-shaped,small,"x,y,z",none,x,green,x,x,rhombus,semicircle,y,black,x,x,x,x,x,x,white,1,wipe center,vert oval,"resize, width","resize, app/dis",app/dis,no data,dom,cen,wide,white,black,crescent,x,x,triangle,"ud, lr, z, resize, height",short,up,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,USA,2013
RAMSEE,37,mechanical,security,x,smart,y,x,x,x,x,x,x,med,full robot body,black,x,x,rectangle - horiz,small,"x,y",none,dis,black,white,x,horiz oval,x,y,black,x,x,y,blue,x,x,white,1,slit,circle,none,no data,no data,x,pro,cen,medium,white,x,crescent,x,x,x,none,long,cen,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,USA,2016
duAro,38,zoomorphic,service,x,blcd,x,y,x,x,x,x,x,low,tabletop,white,x,x,rectangle - horiz,med,none,resize,"text[below], text[above], dis",black,green,x,vert oval,><,x,x,y,white,x,x,x,x,white,2,upturn line,x,none,none,none,no data,pro,raise,wide,x,x,x,x,x,x,none,x,x,black,Y-shaped,x,small,down,none,x,x,x,x,none,x,x,x,x,x,x,x,x,Japan,2016
HOSPI-R (2),38,mechanical,service,x,touch,y,x,x,x,x,x,x,med,upright mobile cone,black,x,x,rounded rectangle - horiz,small,none,none,"speech, dis, text, button",white,x,x,vert oval,x,x,x,x,x,y,black,x,x,white,1,lid down,circle,none,none,none,x,small,up,medium,white,white,crescent,white,x,x,"width, hieght,",short,cen,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,Japan,2016
Padbot T1,38,mechanical,service,x,smart,y,x,x,x,x,x,x,ground,tabletop mobile,black,x,blue,rectangle - horiz,med,none,none,dis,white,x,x,circle,x,y,blue,x,x,y,blue,x,x,white,1,no data,x,no data,x,no data,x,pro,cen,medium,white,white,open,x,x,x,no data,short,down,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,China,2015
Pillo,38,mechanical,healthcare,x,blcd,y,x,x,x,x,x,x,ground,tabletop,black,x,x,circle,large,none,none,"icon, tele",blue,x,x,circle,"heart, semi-circle",y,black,x,x,x,x,x,x,white,1,lid wipe center,circle,"iris wipes around
like loading bar,
lr, z","lr, ud, resize",none,y,pro,cen,wide,light gray,x,crescent,x,x,x,resize,short,cen,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,USA,2016
Ada (2),39,mechanical,entertainment,x,blcd,y,x,x,x,x,x,ears,ground,upright mobile cylinder,pink,x,purple,rectangle - horiz,med,"x,y",none,x,pink,white,x,circle,semi circle,x,x,x,x,y,white,x,x,x,x,x,circle,none,none,none,x,dom,cen,medium,white,white,half circle,x,x,x,"lr, resize",short,cen,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,USA,2016
AIbot,39,humanoid,research,x,blcd,y,x,x,x,x,x,x,high,torso (on mobile platform),blue,x,x,rectangle - horiz,small,no data,no data,x,white,x,no data,square,x,y,black,x,x,x,x,x,x,x,x,no data,x,no data,none,none,no data,small,up,close,white,black,smile,x,no data ,no data ,no data ,long,cen,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,USA,2006
AIDA,39,humanoid,driving assistant,x,blcd,x,x,x,y,x,x,x,ground,tabletop (dashboard),gray,x,x,rectangle - horiz,large,"x,y,z, translate ud, translate lr",lr,icon,blue,x,no data,circle,vert oval,y,black,x,x,x,x,x,x,x,x,lid down,circle,resize,resize,none,x,dom,cen,wide,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,x,x,x,x,none,x,x,blue,dotted line,large,up,wide,x,USA,2009
Baxter (15) ,39,humanoid,research,x,touch,x,x,x,x,x,x,x,high,torso (on platform),blue,x,x,rectangle - horiz,small,"x,y",none,no data,white,blue,no data,square,no data,y,blue,x,x,y,black,x,x,blue,1,no data,circle,no data,no data,no data,no data,dom,cen,medium,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,USA,2015
Baxter (3),39,humanoid,entertainment,x,touch,y,x,x,x,x,x,x,high,torso (on platform),yellow,no data,x,rectangle - horiz,small,"x,y",none,no data,black,x,no data,circle,x,y,white,x,x,x,x,x,x,x,x,x,circle,no data,no data,none,no data,pro,up,close,black,black,human,x,x,x,no data,med,down,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,USA,2013
Baxter (8),39,humanoid,research,x,touch,y,x,y,x,x,x,x,high,torso (on platform),purple,no data,white,rectangle - horiz,small,"x,y",no data,no data,white,purple,no data,circle,circle,x,x,x,x,x,x,x,x,x,x,no data,x,no data,x,x,no data,pro,cen,medium,x,x,x,x,x,x,no data,x,x,x,x,x,x,x,x,black,line,flat,no data,none,long,small,x,x,x,x,x,x,USA,2014
KTH Amazon picker,39,mechanical,research,x,touch,y,x,x,x,x,x,x,high,upright stationary pole,orange,no data,red,rectangle - horiz,small,"x,y",none,x,white,black,no data,circle,squint,y,black,x,x,x,x,x,x,x,x,x,circle,none,none,none,x,pro,cen,wide,red,x,crescent,x,x,x,none,short,cen,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,Sweden,2016
Mospeng-kun,39,humanoid,service,x,blcd,y,x,x,y,x,x,x,med,full robot body,white,x,x,rectangle - horiz,med,none,no data,x,black,x,x,vert oval,x,x,x,x,x,x,x,x,x,x,x,slit,x,z,none,none,x,small,raise,medium,black,white,crescent,x,x,x,z,long,cen,x,x,x,x,x,none,x,x,x,x,none,x,x,red,blush,med,up,wide,x,Japan,2003
Aido,40,humanoid,home,x,blcd,x,y,x,x,x,x,x,med,upright mobile cylinder,black,x,x,rectangle - horiz,small,none,none,"icon, dis",blue,x,x,circle,x,y,black,x,x,x,x,x,x,blue,1,slit,circle,none,"lr, ud",none,x,dom,cen,medium,x,x,x,x,x,x,none,x,x,blue,vertical bars,x,small,up,none,x,x,x,x,none,x,x,x,x,x,x,x,x,USA,2016
Ed,40,humanoid,research,x,blcd,y,y,x,x,x,x,x,med,upright mobile rectangle,black,x,x,rectangle - horiz,small,none,none,dis,green,x,x,circle,x,x,x,x,x,x,x,x,x,x,x,x,x,none,none,none,x,small,raise,medium,green,black,smile,x,x,x,height,med,down,green,rectangle,x,large,cen,none,x,x,x,x,none,x,x,x,x,x,x,x,x,Canada,2014
Jelly,40,mechanical,home,x,touch,y,x,x,x,x,x,x,ground,tabletop,black,x,x,rounded rectangle - horiz,large,"y, x",none,"icon, dis
",black,white,x,circle,y,x,x,x,x,y,yellow,x,x,x,x,x,circle,none,dis,none,x,pro,cen,medium,red,red,crescent,x,x,x,dis,med,cen,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,China,2016
Romibo,41,zoomorphic,educational,x,blcd,x,x,x,x,x,x,x,ground,upright stationary sphere (fur),black,x,x,rounded rectangle - horiz,small,none,none,x,white,x,x,vert oval,circle,y,dark blue or black,y,gray/blue,y,blue,x,x,white,1,lid down,circle,"ud, glare
wiggles l/r","lr, resize",none,x,pro,raise,close,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,USA,2014
WUMO,41,humanoid,service,x,blcd,y,x,x,x,x,x,x,ground,tabletop,blue,x,x,rectangle - horiz,med,none,none,"dis, IF",gray,x,x,vert rect,"square, equal sign",x,x,x,x,x,x,x,x,x,x,wipe center,x,ud,none,none,x,small,up,wide,gray,gray,crescent,x,blue,crescent,"resize, lr",short,cen,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,USA,2014
ZeGoBeast Electric,41,zoomorphic,educational,x,smart,x,x,y,x,x,x,x,ground,tabletop mobile,white,x,x,rectangle - horiz,small,none,"ud, lr",x,black,x,x,vert oval,x,y,white,x,x,x,x,x,x,x,x,mid,circle,"ud, lr",none,none,y,small,cen,medium,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,black,arched (center),down,x,none,short,small,x,x,x,x,x,x,USA,2015
COJI,42,humanoid,entertainment,x,blcd,x,x,x,x,x,x,x,ground,tabletop,black,x,x,square,med,none,"lr, ud",icon,blue,dark blue,x,vert oval,"crescent, vert semi-oval",y,white,x,x,y,light blue,x,x,x,x,lid down,oval,"lr, ud, height, resize, dist","lr, ud",none,y,pro,low,medium,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,China,2016
Luna,42,humanoid,home,x,touch,x,x,y,x,x,x,mouth,high,full robot body,black,x,x,rectangle - horiz,small,y,no data,"icon, dis",blue,x,x,square,no data,x,x,x,x,x,x,x,x,x,x,down,x,lr,none,none,no data,pro,up,medium,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,blue,line,up,x,none,med,x,x,x,x,x,x,x,USA,2011
Owen,42,humanoid,entertainment,x,blcd,y,x,x,x,x,x,x,ground,full robot body,yellow,red,x,rectangle - vert,large,none,none,x,blue,white,x,circle,tilted semi-circle,x,x,x,x,x,x,x,x,x,x,slit,x,none,none,none,x,small,up,close,white,red,half circle,x,x,x,z,med,cen,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,USA,2015
robothespian,42,humanoid,research,x,blcd,x,x,x,x,x,x,"ears, mouth, nose, cheeks",high,full robot body,black,x,x,human,x,"x,y,z",none,x,white,x,"purple, white",circle,x,y,black,y,white,y,blue,x,x,x,x,lid wipe center,circle,"lr, ud, lid height",app/dis,none,y,pro,raise,wide,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,UK,2010
Benebot (Ecovacs Robotics),43,mechanical,service,x,blcd,y,x,x,x,x,x,x,med,upright mobile rectangle,black,x,x,square,med,x,none,dis,white,x,x,circle,x,y,black,x,x,x,x,x,x,x,x,x,circle,no data,none,none,x,dom,cen,medium,blue,blue,open,x,x,x,none,short,down,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,China,2014
Bikou-Kie,43,zoomorphic,entertainment,x,ulcd,x,x,x,x,x,x,"ears, nose, mouth",ground,full robot body,gray,x,x,oval - horiz,med,x,none,x,gray,black,x,vert oval,circle,y,black,x,x,x,x,x,x,"gray
",1,lid down,circle,"ud, resize",none,no data,no data,dom,raise,close,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,China,2001
Nimbus,43,zoomorphic,research,x,blcd,x,x,x,x,x,x,x,ground,upright stationary sphere (fur),black,x,x,bean-shaped,small,"x,y,z",none,x,white,black,x,circle,x,y,black,y,yellow,x,x,x,x,white,1,lid down,circle,none,lr,none,x,dom,cen,close,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,USA,2012
Tapia,43,mechanical,home,x,blcd,x,x,x,x,x,x,x,ground,tabletop,black,red,x,oval - horizontal,med,none,"ud, lr","dialog, icon, dis",white,x,x,circle,semicircle,y,black,y,black,x,x,x,x,x,x,lid down,circle,resize,ud,none,x,dom,low,close,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,Japan,2016
Xibot,43,zoomorphic,home,x,touch,x,x,x,x,x,x,"mouth, ears",ground,tabletop,black,x,x,ellipse - horiz,large,none,none,"icon, dis",blue,x,x,square,same but filled in,y,blue,x,x,y,black,x,x,x,x,slit,square,ud,"lr, ud",none,x,dom,cen,close,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,China,2016
Alphie,44,humanoid,entertainment,x,ulcd,x,x,x,x,x,x,"mouth, ears",ground,full robot body,orange,x,x,square,small,none,none,"dis, icon",black,x,x,vert rounded rect,"circle, vert oval, vert trapezoid short bottom, exclamation mark, arrow, musical notes, stars",y,orange,x,x,x,x,x,x,x,x,slit,circle,"height, z, resize, dist","lr, ud, resize, z",none,y,dom,cen,wide,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,USA,2010
Hub (LG),44,mechanical,home,x,touch,x,x,x,x,x,x,x,ground,tabletop,black,x,x,rectangle - horiz,med,none,"lr, ud","dis
",blue,x,x,vert oval,"line, crecent",x,x,x,x,y,blue,x,x,white,3,slit,vert oval,resize,dis,app/dis,x,pro,cen,medium,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,USA,2016
MobBob,44,humanoid,entertainment,x,smart,y,x,x,x,x,x,x,ground,full robot body,white,x,x,rectangle - both,large,none,z,area[below],black,x,x,vert oval,x,x,x,x,x,x,x,x,x,x,x,wipe center,x,z,none,none,x,small,up,wide,black,black,crescent,x,x,x,height,short,up,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,Australia,2015
Poppy,44,humanoid,research,y,blcd,x,x,y,x,x,x,x,low,full robot body,black,x,x,rounded rectangle - horiz,small,"x,y",none,x,blue,x,x,semicircle,upsidedown semi-circle,x,x,x,x,x,x,x,x,x,x,x,x,none,none,none,x,small,cen,wide,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,blue,arched (center),up,x,none,long,small,x,x,x,x,x,x,France,2016
Unibo,44,humanoid,home,x,touch,y,x,x,x,x,x,x,ground,tabletop,black,x,x,rounded trapezoid,med,"x, y, z",z,"IF, dis, icon
speech[above mouth], button [mouth]",white,x,x,vert oval,x,x,x,x,x,x,x,x,x,x,x,lid wipe center,x,none,none,none,y,small,down,wide,white,x,line,x,x,x,app/dis,long,cen,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,Japan,2017
Beggar,45,humanoid,art,x,crt,y,x,x,x,x,x,x,med,upright mobile rectangle,white,x,x,square,small,none,ud,x,black,x,x,square,x,x,x,x,x,x,x,x,x,x,x,slit,square,"ud, height",none,none,x,small,up,wide,black,x,line,x,x,x,"ud, app/dis, width, height",short,down,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,Slovenia,2006
Bot-chan,45,zoomorphic,home,x,blcd,x,x,x,x,x,x,ears,ground,tabletop,green,x,x,circle,med,"x, y",no data,no data,black,x,no data,vert oval,x,x,x,x,x,x,x,black,upturn line from corner,x,x,no data,x,none,none,none,no data,pro,cen,medium,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,Japan,2005
BYD Car Robot,45,humanoid,driving assistant,x,blcd,x,x,x,x,x,x,x,ground ,tabletop (dashboard),black,x,x,circle,med,,no data,no data,yellow,x,x,vert oval,semicircle,y,black,x,x,x,x,x,x,yellow,1,no data,vert oval,no data,x,none,no data,pro,cen,close,x,x,x,x,x,x,x,x,x,x,x,x,x,x,none,x,x,x,x,,x,x,x,x,x,x,x,x,China,2012
Heasy,45,mechanical,service,x,blcd,x,x,x,x,x,x,x,high,upright mobile cylinder,black,x,x,rounded rectangle - horiz,small,y,none,chest,white,x,red,teardrops,"heart, horz oval",y,black,x,x,x,x,x,x,x,x,wipe center,speech bubble,resize,none,none,x,pro,cen,close,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,France,2017
Musio,45,humanoid,entertainment,x,crt,x,x,x,x,x,x,x,ground,full robot body,black,x,x,rounded rectangle - horiz,med,none,no data,x,blue,x,x,circle,"crescent, star",y,dark blue,x,x,y,blue,x,x,x,x,dis,circle,none,"lr, app/dis",none,x,dom,cen,wide,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,USA,2014
AMI,46,humanoid,research,x,blcd,y,x,x,x,x,x,mouth,high,full robot body,blue,x,x,rectangle - horiz,med,none,none,x,white,x,x,horiz line,x,x,x,x,x,x,x,x,x,x,x,x,x,z,none,none,x,dom,raise,medium,white,x,line,x,x,x,"ud, z, lr",med,down,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,Korea,2001
Baxter (14) ,46,humanoid,research,x,touch,y,x,x,x,x,x,x,high,torso (on platform),black,no data,x,rectangle - horiz,small,"x,y",no data,no data,white,x,no data,circle,no data,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,pro,up,close,yellow,x,crescent,x,x,x,no data,long,down,x,x,x,x,x,none,x,x,x,x,no data,x,x,x,x,x,x,x,x,USA,2015
BIG-i,46,mechanical,home,x,blcd,x,x,x,x,x,x,x,ground,upright mobile cylinder,black,x,x,sphere,small,y,none,tele,white,x,x,circle,x,y,black,x,x,y,gray,x,x,x,x,dis,circle,app/dis,"lr, resize",none,x,pro,cen,x,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,China,2016
Hajime,46,humanoid,service,x,blcd,x,x,x,x,x,x,x,high,mobile upright cylinder,black,x,x,square,small,none,none,x,white,blue,x,vert oval,x,y,black,x,x,x,x,x,x,x,x,slit,circle,none,"lr, ud",none,no data,dom,cen,medium,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,Japan,2010
Ninebot Segway,46,humanoid,home,x,smart,x,x,x,x,x,x,x,low,on a mobile platform,black,x,x,rectangle - horiz,small,"x,y, translate ud",none,dis,white,x,x,circle,x,y,black,x,x,x,x,x,x,x,x,mid to curved lines,circle,"lr, ud",none,none,no data,pro,raise,medium,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,China,2016
Care-O-Bot 4,47,humanoid,service,x,blcd,x,x,x,x,x,x,x,high,upright mobile cylinder,black,x,x,circle,small,"x,y,z","lr, ud",dis,blue,x,pink,circle,"vert oval, horiz crescent",x,x,x,x,x,x,x,x,x,x,lid down,x,"ud, lr, resize",none,none,y,small,raise,close,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,Germany,2015
Domgy,47,zoomorphic,home,x,blcd,x,x,x,x,x,x,x,ground,full robot body,black,x,x,oval - horiz,med,"x,y",none,"icon, dis, tele",blue,x,x,circle,x,y,black,x,x,x,x,x,x,x,x,pupil slit,circle,none,"resize, lr, ud",none,x,dom,cen,close,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,China,2016
Jibo,47,mechanical,home,x,touch,x,x,x,x,x,x,x,ground,upright stationary spheroid,black,x,x,circle,large,"x,y,z",none,"icon, dis",gray,x,"white, yellow, blue, green, red",circle,"oval - horiz, heart, circle missing chunk, crescent",x,x,x,x,x,x,x,x,white,1,slit,x,"ud, l/r, 
resize",none,none,x,dom,cen,x,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,USA,2014
Relay,47,mechanical,service,x,touch,x,x,x,x,x,x,x,low,mobile upright cylinder,orange,x,blue,rectangle - horiz,small,none,none,"dis, speech[above]",white,x,x,vert oval,upwards crescent,x,x,x,x,x,x,x,x,x,x,slit,x,none,none,none,x,small,low,close,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,x,,x,x,none,x,x,x,x,x,x,x,x,USA,2014
Tawabo,47,humanoid,tour guide,x,blcd,y,x,x,x,x,x,x,med,upright mobile cylinder,white,x,x,rectangle - horiz,med,none,none,dis,black,x,x,vert oval,x,x,x,x,x,x,x,x,x,x,x,x,x,"ud, lr",none,none,x,small,raise,medium,black,x,crescent,x,x,x,"ud, lr",x,down,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,Japan,2012
Halley,48,humanoid,research,x,blcd,x,x,x,x,x,x,mouth,ground/low,full robot body,blue,x,x,rectangle - horiz,small,"x,y",none,smart,blue,x,x,vert rect,"vert oval, thick crescent, line",x,x,x,x,x,x,x,x,x,x,slit,x,none,none,none,x,dom,low,close,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,USA,2015
KubiLingo,48,mechanical,research,x,smart,x,x,x,x,x,x,x,low,tabletop,green,x,x,rectangle - horiz,large,"x,y",none,"toolbar[below], dis",white,x,x,circle,x,y,black,x,x,x,x,x,x,x,x,x,circle,none,"lr, ud",none,x,pro,raise,medium,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,USA,2016
Roppie,48,humanoid,home,x,blcd,x,x,x,x,x,x,x,med,full robot body,black,x,x,square,small,"x, y",none,chest,blue,x,red,vert oval,"circle, heart",x,x,x,x,x,x,x,x,x,x,dis,x,"lr, ud",none,none,x,pro,low,close,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,Taiwan,2009
Tega,48,zoomorphic,educational,x,smart,x,x,x,x,x,x,hair,ground,tabletop,blue,x,x,teardrop,small,"x,y,z, translate ud",none,"smart, dis",white,x,x,vert oval,"horiz oval, semicircle",x,x,x,x,x,x,x,x,x,x,lid down to slit,x,"ud, resize, z",none,none,x,dom,cen,medium,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,USA,2016
Casper,49,humanoid,service,x,touch,x,x,x,x,x,x,x,low,upright mobile cylinder,white,x,x,rectangle - horiz,small,none,none,"dis, text[above]",black,x,x,vert rounded rect,crescent,x,x,x,x,x,x,x,x,x,x,slit,x,"ud, width",none,none,x,pro,raise,wide,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,China,2016
Cozmo,49,mechanical,entertainment,x,blcd,x,x,x,x,x,x,x,ground,full robot body,black,x,x,square,med,y,"lr, ud",x,blue,x,x,square,"slit, crescent",x,x,x,x,x,x,x,x,x,x,slit,x,"ud, lr, resize, height, dist",none,none,y,pro,raise,close,x,x,x,x,x,x,none,x,x,x,x,x,x,x,none,x,x,x,x,none,x,x,x,x,x,x,x,x,USA,2016
